date,temperature,wind_speed,humidity
2024-02-14,13.38,7.2,84
2024-02-15,13.38,7.2,84
2024-02-16,13.51,7.2,83
2024-02-17,13.51,7.2,83
2024-02-18,13.51,7.2,83
2024-02-19,13.51,7.2,83
2024-02-20,13.51,7.2,83
2024-02-21,13.51,7.2,83
2024-02-22,13.51,7.2,83
2024-02-23,13.51,7.2,83
2024-02-24,13.51,7.2,83
2024-02-25,13.51,7.2,83
2024-02-26,13.51,7.2,83
2024-02-27,13.51,7.2,83
2024-02-28,13.51,7.2,83
2024-02-29,13.51,7.2,83
2024-03-01,13.51,7.2,83
2024-03-02,13.51,7.2,83
2024-03-03,13.51,7.2,83
2024-03-04,13.51,7.2,83
2024-03-05,13.51,7.2,83
2024-03-06,13.51,7.2,83
2024-03-07,13.51,7.2,83
2024-03-08,13.51,7.2,83
2024-03-09,13.51,7.2,83
2024-03-10,13.51,7.2,83
2024-03-11,13.51,7.2,83
2024-03-12,13.51,7.2,83
2024-03-13,13.51,7.2,83
2024-03-14,13.51,7.2,83
2024-03-15,13.51,7.2,83
